"","search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches","gbif_id","orig_tiplabel"
"139","carya floridana","Carya floridana",FALSE,1,3931020,FALSE,"",1,3054348,"Carya floridana"
"140","carya glabra","Carya glabra",FALSE,1,899017,FALSE,"",1,3054334,"Carya glabra"
"141","carya hunanensis","Carya hunanensis",FALSE,1,5233324,FALSE,"",1,8214396,"Carya hunanensis"
"142","carya illinoinensis","Carya illinoinensis",FALSE,1,259040,FALSE,"",1,7445032,"Carya illinoinensis"
"143","carya kweichowensis","Carya kweichowensis",FALSE,1,5233323,FALSE,"",1,4205606,"Carya kweichowensis"
"144","carya laciniosa","Carya laciniosa",FALSE,1,3931022,FALSE,"",1,7915743,"Carya laciniosa"
"145","carya myristiciformis","Carya myristiciformis",FALSE,1,199037,FALSE,"",1,8093912,"Carya myristiciformis"
"146","carya ovata","Carya ovata",FALSE,1,1064112,FALSE,"",1,3054296,"Carya ovata"
"147","carya pallida","Carya pallida",FALSE,1,3931008,FALSE,"",1,3054341,"Carya pallida"
"148","carya sinensis","Annamocarya sinensis",FALSE,1,199045,TRUE,"",1,4205503,"Carya sinensis"
"149","carya texana","Carya texana",FALSE,1,3931016,FALSE,"",1,8391621,"Carya texana"
"150","carya tonkinensis","Carya tonkinensis",FALSE,1,722580,FALSE,"",1,4205522,"Carya tonkinensis"
"151","castanea crenata","Castanea crenata",FALSE,1,429760,FALSE,"",1,5333249,"Castanea crenata"
"152","castanea dentata","Castanea dentata",FALSE,1,562865,FALSE,"",1,5333230,"Castanea dentata"
"153","castanea henryi","Castanea henryi",FALSE,1,926295,FALSE,"",1,5333207,"Castanea henryi"
"154","castanea mollissima","Castanea mollissima",FALSE,1,540978,FALSE,"",1,5333237,"Castanea mollissima"
"155","castanea ozarkensis","Castanea ozarkensis",FALSE,1,202055,FALSE,"",1,5333306,"Castanea ozarkensis"
"156","castanea pumila","Castanea pumila",FALSE,1,180564,FALSE,"",1,5333212,"Castanea pumila"
"157","castanea sativa","Castanea sativa",FALSE,1,1028994,FALSE,"",1,5333294,"Castanea sativa"
"158","castanea seguinii","Castanea seguinii",FALSE,1,180567,FALSE,"",1,5333304,"Castanea seguinii"
"159","castanopsis amabilis","Castanopsis amabilis",FALSE,1,671880,FALSE,"",1,5333142,"Castanopsis amabilis"
"160","castanopsis argyrophylla","Castanopsis argyrophylla",FALSE,1,753630,FALSE,"",1,5333009,"Castanopsis argyrophylla"
"161","castanopsis calathiformis","Castanopsis calathiformis",FALSE,1,651165,FALSE,"",1,5332931,"Castanopsis calathiformis"
"162","castanopsis carlesii","Castanopsis carlesii",FALSE,1,651169,FALSE,"",1,5333184,"Castanopsis carlesii"
"163","castanopsis ceratacantha","Castanopsis ceratacantha",FALSE,1,651167,FALSE,"",1,5333136,"Castanopsis ceratacantha"
"164","castanopsis cerebrina","Castanopsis cerebrina",FALSE,1,671882,FALSE,"",1,5332915,"Castanopsis cerebrina"
"165","castanopsis chinensis","Castanopsis chinensis",FALSE,1,221201,FALSE,"",2,5333067,"Castanopsis chinensis"
"166","castanopsis cuspidata","Castanopsis cuspidata",FALSE,1,448681,FALSE,"",1,5333089,"Castanopsis cuspidata"
"167","castanopsis delavayi","Castanopsis delavayi",FALSE,1,651159,FALSE,"",1,5332976,"Castanopsis delavayi"
"168","castanopsis echinocarpa","Castanopsis echinocarpa",FALSE,1,651157,FALSE,"",1,5333036,"Castanopsis echinocarpa"
"169","castanopsis eyrei","Castanopsis eyrei",FALSE,1,149019,FALSE,"",1,5333175,"Castanopsis eyrei"
"170","castanopsis fabri","Castanopsis fabri",FALSE,1,149016,FALSE,"",1,5610988,"Castanopsis fabri"
"171","castanopsis fargesii","Castanopsis fargesii",FALSE,1,651163,FALSE,"",1,5332927,"Castanopsis fargesii"
"172","castanopsis fissa","Castanopsis fissa",FALSE,1,651161,FALSE,"",1,5332934,"Castanopsis fissa"
"173","castanopsis fleuryi","Castanopsis fleuryi",FALSE,1,651155,FALSE,"",1,5333033,"Castanopsis fleuryi"
"174","castanopsis hypophoenicea","Castanopsis hypophoenicea",FALSE,1,651153,FALSE,"",1,5333080,"Castanopsis hypophoenicea"
"175","castanopsis indica","Castanopsis indica",FALSE,1,129487,FALSE,"",1,5332911,"Castanopsis indica"
"176","castanopsis inermis","Castanopsis inermis",FALSE,1,432816,FALSE,"",1,5333157,"Castanopsis inermis"
"177","castanopsis longzhouica","Castanopsis longzhouica",FALSE,1,149023,FALSE,"",1,5611054,"Castanopsis longzhouica"
"178","castanopsis lucida","Castanopsis lucida",FALSE,1,432811,FALSE,"",1,5333114,"Castanopsis lucida"
"179","castanopsis psilophylla","Castanopsis psilophylla",FALSE,1,129481,FALSE,"",1,5333079,"Castanopsis psilophylla"
"180","castanopsis rockii","Castanopsis rockii",FALSE,1,129483,FALSE,"",1,5333052,"Castanopsis rockii"
"181","castanopsis sclerophylla","Castanopsis sclerophylla",FALSE,1,149021,FALSE,"",1,5333066,"Castanopsis sclerophylla"
